filename,path,recommendation,confidence,reasoning,forbidden_patterns,has_main_function,has_functions,has_classes
s3_session_manager.py,tidyllm\deprecated\session_management\vectorqa\s3_session_manager.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,3,4
production_tracking_drop_zones_old_boto3.py,tidyllm\deprecated\session_management\production_tracking_drop_zones_old_boto3.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,True,2,1
unified_credential_setup.py,scripts\unified_credential_setup.py,needs_migration,high,"Contains forbidden patterns: boto3_direct, psycopg2_direct",boto3_direct; psycopg2_direct,True,1,1
test_config.py,tidyllm\admin\test_config.py,needs_migration,high,"Contains forbidden patterns: boto3_direct, psycopg2_direct",boto3_direct; psycopg2_direct,True,1,1
rudy_test_embeddings.py,rudy_test_embeddings.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,True,1,1
corporate_llm_gateway.py,tidyllm\gateways\corporate_llm_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
gateway_registry.py,tidyllm\gateways\gateway_registry.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,3
2_test_s3_aws.py,tests\2_test_s3_aws.py,needs_migration,high,Contains forbidden patterns: boto3_direct,boto3_direct,False,1,4
__init__.py,tidyllm\knowledge_resource_server\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
interfaces.py,tidyllm\knowledge_resource_server\interfaces.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
file_storage_gateway.py,tidyllm\gateways\file_storage_gateway.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,0,3
database_gateway.py,tidyllm\gateways\database_gateway.py,needs_migration,high,Contains forbidden patterns: psycopg2_direct,psycopg2_direct,False,0,3
workflow_optimizer_gateway.py,tidyllm\gateways\workflow_optimizer_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,5
base_gateway.py,tidyllm\gateways\base_gateway.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,4
__init__.py,tidyllm\gateways\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,0
dspy_coordinated_rag_system.py,tidyllm\deprecated\old-examples\dspy_coordinated_rag_system.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,True,5,11
rag_demo_polars.py,tidyllm\deprecated\old-examples\rag_demo_polars.py,needs_migration,high,Demo with executable main; Contains forbidden patterns: numpy_usage,numpy_usage,True,8,1
config_manager.py,tidyllm\deprecated\old-tidyllm\admin\config_manager.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,8
gateway_control.py,tidyllm\deprecated\old-tidyllm\admin\gateway_control.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,2,5
advanced_mlflow.py,tidyllm\deprecated\old-tidyllm\advanced_mlflow.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,7,10
api_server.py,tidyllm\deprecated\old-tidyllm\api_server.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,9
attachments_enhanced.py,tidyllm\deprecated\old-tidyllm\attachments_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,6,5
analysis.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\analysis.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\consistency\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
validation.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\validation.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\evidence\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
standards.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\compliance\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
core.py,tidyllm\deprecated\old-tidyllm\core.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,5,2
database_integration.py,tidyllm\deprecated\old-tidyllm\database_integration.py,needs_migration,high,"Contains forbidden patterns: psycopg2_direct, numpy_usage",psycopg2_direct; numpy_usage,False,2,4
demo_protection.py,tidyllm\deprecated\old-tidyllm\demo_protection.py,uncertain_needs_manual_review,low,Demo but missing main execution; Mixed indicators - needs manual review,,False,3,4
classifier.py,tidyllm\deprecated\old-tidyllm\documents\classification\classifier.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\documents\classification\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
metadata.py,tidyllm\deprecated\old-tidyllm\documents\extraction\metadata.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
text.py,tidyllm\deprecated\old-tidyllm\documents\extraction\text.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,1
__init__.py,tidyllm\deprecated\old-tidyllm\documents\extraction\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
business.py,tidyllm\deprecated\old-tidyllm\documents\templates\business.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\documents\templates\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\documents\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
dspy_bedrock_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_bedrock_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,5
dspy_enhanced.py,tidyllm\deprecated\old-tidyllm\dspy_enhanced.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,8
dspy_gateway_backend.py,tidyllm\deprecated\old-tidyllm\dspy_gateway_backend.py,uncertain_has_todos,medium,Has TODO items: 1 found,,False,2,3
dspy_wrapper.py,tidyllm\deprecated\old-tidyllm\dspy_wrapper.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,4,9
dt.py,tidyllm\deprecated\old-tidyllm\dt.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,3,2
encrypted_database_integration.py,tidyllm\deprecated\old-tidyllm\encrypted_database_integration.py,needs_migration,high,Contains forbidden patterns: numpy_usage,numpy_usage,False,2,4
standards.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\standards.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\model_risk\__init__.py,inactive_no_functionality,high,No functions or classes defined,,False,0,0
__init__.py,tidyllm\deprecated\old-tidyllm\enterprise\analysis\__init__.py,uncertain_needs_manual_review,low,Mixed indicators - needs manual review,,False,0,2
